short_name,player_positions,overall,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic
A. Rodriguez,"CM, CDM",64,Right,3,3,Technical,75,53,62,71,65,64
C. Petro,"RB, CDM",64,Right,2,2,"",77,37,54,56,59,66
F. Saravia,"LM, LB",64,Left,2,3,"",71,55,62,64,50,65
Bruno Ventura,CAM,64,Right,3,3,"",71,50,67,66,45,54
D. Kaygin,CAM,64,Right,3,3,"",71,64,64,64,42,57
F. Dicke,"CDM, CM, CB",64,Right,2,2,"",60,47,58,59,65,63
A. Brambilla,"CDM, CM",64,Right,2,2,"",63,50,65,62,58,66
A. Kaprálik,"CF, RM",64,Right,3,3,"",83,60,58,65,33,63
L. Gibson,CB,64,Left,3,2,Long Ball Pass,60,33,49,57,65,65
V. Millico,"LM, LW, CF",64,Right,3,3,"",71,61,60,68,30,51
S. High,CM,64,Right,3,2,"Long Ball Pass, Slide Tackle",71,57,63,64,58,65
D. Thompson,"LB, LWB",64,Left,3,2,Long Throw,74,39,55,59,58,66
B. Waine,ST,64,Right,3,2,Finesse Shot,79,64,56,63,44,74
D. Céspedes,CB,64,Right,3,2,"",61,22,40,44,64,68
Altube,GK,64,Right,3,1,"",,"",,"",,
L. Miller,RB,64,Right,3,2,"Slide Tackle, Long Throw",65,43,56,60,61,73
K. Moreno,CM,64,Right,3,3,"",66,57,64,63,59,68
N. Shinton,GK,64,Left,3,1,"",,"",,"",,
S. Raux-Yao,CB,64,Left,2,2,"Jockey, Block, Bruiser",44,34,40,41,62,78
L. Sinayoko,"RM, ST",64,Right,3,3,"",69,67,56,66,26,65
F. Greilinger,"LB, LM",64,Left,3,2,"Jockey, Anticipate, Rapid",80,47,55,68,54,60
R. Ispas,LB,64,Left,2,2,"",77,26,53,58,59,59
Z. Ould Khaled,"CDM, CM",64,Right,3,2,"",42,47,59,61,60,67
M. Sorinola,"LWB, RWB",64,Right,4,3,Rapid,75,47,60,64,57,62
R. Baturina,ST,64,Left,4,2,"",66,66,49,61,21,68
Iván Morante,"CM, CDM",64,Left,3,3,"",64,62,62,64,57,59
A. Canales,"CM, CDM",64,Right,3,2,"",64,55,58,65,59,64
J. Pulskamp,GK,64,Right,1,1,"",,"",,"",,
R. Rivas,"LB, LM",64,Left,3,3,Whipped Cross,70,43,63,64,61,65
J. Roche,"CDM, CB",64,Left,3,2,"",69,48,57,59,62,73
Luís Santos,"RW, RWB, RM",64,Right,3,3,"",80,59,53,67,45,48
S. Tijani,"CDM, CM",64,Right,3,2,"",70,42,60,64,62,64
A. Cocian,"LM, CM, LW",64,Right,4,2,"",76,62,61,64,53,69
J. Currie,"LB, LWB",64,Left,2,2,Intercept,76,37,52,63,57,59
Guillem Molina,"CB, RB, LB",64,Right,3,2,"",64,31,49,48,66,63
V. Radonja,RB,64,Right,3,2,"",76,33,54,58,61,61
T. Aasgaard,"CAM, LM, CM",64,Right,4,3,Flair,64,63,61,66,39,55
E. Ahlstrand,"CAM, CM, ST",64,Left,3,3,"",70,56,58,65,36,56
Kim Bong Soo,"CM, CB",64,Right,2,2,Relentless,61,53,57,61,63,75
M. Lachuer,"CM, CDM",64,Left,2,3,"",81,46,68,74,55,41
L. Cingolani,"RM, RW",64,Right,2,3,Rapid,80,61,56,67,27,43
F. Strauss,"CB, RWB",64,Right,4,2,"",70,40,55,60,60,76
A. Brown,"LB, LM, CB",64,Left,3,2,"",69,46,58,66,58,75
C. Keleş,"RM, LM",64,Left,4,3,"",72,59,59,66,35,59
Pablo Tomeo,CM,64,Right,3,2,"",62,54,60,63,62,68
Diego García,ST,64,Right,3,2,"",72,68,46,64,23,54
André Ricardo,CAM,64,Left,3,3,"",69,48,65,63,33,52
R. Rosales,RB,64,Right,3,3,"",68,44,53,58,63,61
Kortajarena,"CAM, CM",64,Left,3,3,"",61,59,65,64,45,52
F. Ponsi,LB,64,Right,3,2,"",71,34,48,61,61,69
N. Tjoe-A-On,LB,64,Left,3,2,Intercept,74,39,53,57,58,68
J. Baas,"CM, RM, CDM",64,Right,3,3,Relentless,65,57,65,63,55,71
D. Scherhant,"LM, ST",64,Right,3,3,"",72,64,56,68,23,56
C. Brackelmann,"CB, LWB",64,Left,3,2,"Long Ball Pass, Jockey, Block, Anticipate, Aerial",67,47,57,52,61,77
H. Neal,"CDM, CM",64,Right,2,2,"",44,45,57,56,61,70
Rafael Brito,CM,64,Right,3,3,"",66,57,65,64,61,67
N. Nsingi,ST,64,Left,3,2,"",79,65,52,67,26,58
T. Cervera,"ST, LW",64,Left,3,3,"",73,62,54,65,27,64
Dinis Pinto,RB,64,Right,3,2,"",72,42,55,62,60,54
S. Touray,"CM, CAM",64,Right,2,2,"",62,52,61,65,54,64
A. El Ouazzani,"ST, RM",64,Left,2,3,"",61,65,57,63,18,59
R. Krollis,ST,64,Left,3,2,"",48,66,49,60,25,67
A. Piedrahita,"LM, LW",64,Right,3,3,"",67,61,59,64,28,63
Paulinho,ST,64,Right,3,2,"",64,64,44,60,25,70
Gabriel Pereira,CB,64,Right,2,2,"",47,33,35,44,64,75
J. Niemiec,ST,64,Right,4,2,"",76,64,54,58,40,68
M. Vásquez,"RB, CB",64,Right,3,2,"",72,25,53,58,61,71
Brais Martínez,LB,64,Left,3,3,"",72,33,55,58,60,61
S. Homma,"LM, LW",64,Right,3,3,"",75,63,56,71,27,39
R. Belghali,RB,64,Right,3,2,"",81,60,60,62,59,59
E. Sottini,"CB, LB",64,Left,3,2,"",69,49,55,56,63,67
Juan Sebastián,"RB, LB",64,Right,3,2,"",67,33,48,62,63,67
Pablo Roberto,CM,64,Right,3,2,"",71,56,65,65,53,59
M. Guillén,RB,64,Right,3,3,"",67,44,57,62,61,59
Pablo Hernandez,"CM, CDM",64,Right,3,2,"",71,50,66,66,58,57
L. Tómasson,LWB,64,Left,3,3,"",79,53,59,63,55,66
A. Dadakdeniz,GK,64,Right,3,1,Footwork,"",,"",,"",
M. Warming,"LW, LM",64,Right,3,3,"",75,58,55,70,33,49
D. Emmanouilidis,LM,64,Right,3,3,Rapid,81,59,52,68,24,55
B. Galván,"RM, LM, LWB",64,Left,3,3,"",78,54,58,68,43,58
X. Amaechi,RW,64,Left,4,3,"",81,54,57,68,31,50
S. Brynn,GK,64,Right,2,1,"",,"",,"",,
F. Evina,"ST, LM",64,Right,3,3,Rapid,80,62,56,65,34,68
L. Cornic,"RB, RWB",64,Right,3,2,"",78,38,58,64,56,58
N. Chilvers,"CAM, CM",64,Right,4,3,"Pinged Pass, Flair",79,63,61,66,56,71
T. Ortíz,CM,64,Right,2,2,"",78,53,64,71,55,58
O. Pettersson,RW,64,Right,3,3,"",85,60,61,62,52,63
O. Casey,CB,64,Right,2,2,"",60,27,45,50,64,69
Y. Mena,RM,64,Right,3,3,"",74,49,57,66,27,50
C. Itu,CM,64,Right,2,2,Long Ball Pass,66,58,59,62,61,71
Í. Þorvaldsson,ST,64,Right,4,3,"",73,61,60,65,52,76
B. Jackson,"LB, LWB",64,Left,3,2,Long Ball Pass,79,37,51,60,59,60
N. Nadj,CAM,64,Right,3,3,"",69,53,60,67,36,51
A. Lyska,GK,64,Right,3,1,"",,"",,"",,
K. Phillips,"ST, RM",64,Right,3,2,"",75,63,52,63,33,67
A. Uğur,"CM, CDM",64,Right,3,3,Technical,70,53,65,69,61,63
N. Kölle,"LB, LM",64,Left,3,2,Rapid,78,46,54,61,59,67
S. Russo,"CDM, CB",64,Right,3,2,Slide Tackle,60,53,57,61,61,73
B. Kone,CM,64,Left,3,3,"",71,61,62,71,49,60
D. Rivas,LB,64,Left,2,2,"",76,23,50,49,60,51
M. Miranda,"CAM, RM, LM",64,Left,2,3,"",70,58,62,64,55,50
C. Saydee,ST,64,Right,3,3,"",75,62,48,63,28,79
U. Llanez Jr.,"RW, LW",64,Right,4,3,Technical,79,58,60,68,37,59
C. Lungoyi,"ST, RW",64,Right,3,3,Flair,87,62,53,68,32,64
J. Espinoza,"CM, CDM",64,Right,3,2,"",65,45,60,63,58,62
I. Amundsen,CB,64,Right,2,2,"",67,37,48,59,64,72
T. Raemaekers,CB,64,Right,3,2,Long Ball Pass,52,46,58,55,62,66
A. Barry,"CB, CDM, RB",64,Right,3,2,"",77,25,31,46,65,70
O. Edwards,"LM, RM",64,Right,3,3,Flair,85,55,56,66,32,52
L. Rosenlöcher,"LB, LM",64,Left,3,2,"Jockey, Anticipate, Slide Tackle",76,45,52,61,59,70
S. Pabón,"CB, RB",64,Right,2,2,"",67,42,46,57,65,68
J. Antonisse,LW,64,Right,4,3,"Rapid, Flair",80,56,56,68,38,59
L. Bennett,"RB, RWB",64,Right,4,3,"Rapid, Relentless",81,34,54,64,55,64
Y. Van Genechten,"RB, RWB, CB",64,Right,3,2,"",61,36,58,59,61,69
G. Satsias,"CM, CDM",64,Right,3,2,"",72,53,57,63,55,62
C. Lang,"CF, ST, CAM",64,Right,3,2,"",73,63,60,66,33,61
B. Bjarnason,CB,64,Right,3,2,"Power Header, Anticipate, Bruiser, Aerial",69,25,47,41,63,70
M. Kuharevych,ST,64,Right,4,2,"",59,66,49,60,23,74
M. Ndiaye,GK,64,Right,2,1,"",,"",,"",,
Juan Artola,"ST, RM, CAM",64,Right,3,3,"",72,61,62,69,47,55
K. Jensen,LW,64,Right,3,3,"",76,60,59,68,20,49
M. Ivančević,CB,64,Right,4,2,Block,50,34,48,40,62,75
J. Jeno,"CDM, CM",64,Left,3,2,"",56,39,56,57,64,66
J. Olaitan Ishola,"CAM, CM, LM",64,Right,3,3,"Flair, Long Throw",79,66,60,65,53,78
Mario Gila,CB,64,Right,3,2,"",66,38,53,61,64,64
S. Diarra,ST,64,Right,3,2,Trivela,79,63,47,56,26,70
N. Agrafiotis,ST,64,Right,3,2,"",67,64,51,59,25,68
Gonçalo Costa,LB,64,Left,2,2,"",76,32,42,63,59,60
J. Tenkorang,"CM, CAM",64,Right,5,3,"",73,63,63,64,57,68
M. Farsi,"RM, RB",64,Right,3,3,Rapid,80,49,59,68,55,54
P. Pizarro,CB,64,Right,3,2,"",65,31,46,48,64,70
N. Ndombasi,"LW, RW",64,Right,2,4,"",85,58,50,69,28,61
Bernardo Folha,CM,64,Right,3,2,"",63,54,67,66,55,57
C. Pompeu,"LM, LW, RW",64,Right,2,3,"Technical, Flair",75,57,53,72,29,44
R. Benítez,"LM, LW",64,Right,4,3,"",73,57,59,67,33,58
N. Remberg,"CM, CDM",64,Right,3,2,"",70,51,62,65,60,72
M. Gurbanli,ST,64,Right,3,3,"",67,66,43,63,22,63
C. Neghli,"CAM, RM",64,Left,3,3,"",70,61,62,67,40,50
N. Sekulov,"RM, CAM, LM",64,Right,3,3,"",68,54,61,67,46,53
T. Touré,"LM, LW, RW",64,Right,3,3,"",77,59,58,65,26,55
S. Rubežić,CB,64,Right,3,2,"",62,27,29,42,63,79
V. Brazhko,CDM,64,Right,3,2,"",61,31,54,54,59,66
J. Lomboto,"CB, CDM",64,Right,2,2,"",63,33,37,36,65,72
T. Baack,"CM, CDM, CB",64,Right,4,2,"",64,56,58,62,64,70
H. Stenevik,"RW, LW, LB",64,Right,3,4,Technical,77,53,60,65,49,63
N. Fernández,"RB, RM",64,Right,3,2,"",82,40,56,63,58,66
T. Totland,RB,64,Right,3,2,"",81,32,49,66,55,63
M. Olivieri,"ST, RW, LW",64,Right,2,2,"",75,62,55,67,25,61
David Vicente,"RB, RWB",64,Right,2,2,"",68,37,50,62,57,60
M. Real,"LB, CDM",64,Left,3,2,"",74,36,56,63,60,62
S. Bareiro,ST,64,Right,3,2,"",64,63,50,59,22,65
K. Høgh,ST,64,Right,3,2,"",77,62,50,62,28,65
K. Ludewig,RB,64,Right,3,3,"",74,46,59,62,58,64
N. Ochojski,RB,64,Right,3,2,"Jockey, Trivela",78,47,57,58,58,65
J. Krahl,GK,64,Right,3,1,"",,"",,"",,
U. Yazğılı,"CB, CDM, RB",64,Right,2,2,"",54,34,42,48,63,71
G. Traoré,"CDM, CM",64,Right,2,3,"",50,39,58,63,62,64
Martí Vilà,"LB, CB",64,Left,2,2,"",65,42,57,62,59,60
A. Keita,CB,64,Left,4,2,"",79,27,50,49,63,69
N. Vesterlund,"RWB, RM, LWB",64,Right,4,3,"",72,52,54,62,58,71
C. Mesías,"CDM, CM",64,Left,2,2,Press Proven,68,45,58,63,60,66
D. Kother,"LM, RM",64,Right,3,3,"Rapid, Flair, Quick Step",81,60,52,69,21,48
J. Armer,LWB,64,Left,2,2,Block,70,44,55,58,57,68
F. Borța,"RB, RM",64,Right,3,2,Rapid,81,36,49,59,58,65
R. Philippe,"ST, LW",64,Left,2,2,"",71,63,51,65,22,60
A. Paluszek,CB,64,Right,2,2,"Bruiser, Aerial",51,27,39,43,63,72
Miguel Reisinho,CM,64,Right,3,3,"",53,52,63,63,58,68
M. Al Dawsari,"RB, RM",64,Right,3,2,"",78,33,53,61,58,65
P. Vroegh,"CM, CDM",64,Left,3,2,Relentless,57,54,62,64,56,61
M. Senger,CB,64,Left,3,2,Block,71,29,44,45,63,73
H. Kyprianou,"CDM, CM",64,Right,3,2,Slide Tackle,65,55,57,62,59,71
Z. Swanson,RB,64,Right,4,2,"",72,48,63,62,60,60
N. Boushal,RB,64,Right,3,2,Intercept,80,36,47,62,60,72
E. Lastre,"RB, RM, RW",64,Right,3,2,"",79,37,53,58,58,62
L. Lissens,CB,64,Right,3,2,"",66,27,50,55,62,65
L. Gütlbauer,GK,64,Right,2,1,"",,"",,"",,
F. Prado,"LB, CB",64,Left,3,2,"",67,38,55,59,61,68
J. Mina,CAM,64,Left,3,3,Flair,62,64,60,62,41,43
T. Ndicka Matam,"LB, LM",64,Left,3,2,Rapid,78,48,57,66,56,66
J. Naschberger,"CM, CDM, RM",64,Right,3,3,"",78,58,61,68,55,55
C. Türkmen,"CDM, CM",64,Right,3,2,"",58,44,58,67,62,60
I. Gariglio,"CB, RB",64,Right,2,2,"",55,32,42,37,67,63
N. May,"LWB, LM, LB",64,Left,3,2,"",74,47,56,63,60,59
R. Briones,"RW, RM, CM",64,Right,3,4,"",79,56,62,64,52,62
Ramón Juan,GK,64,Right,3,1,"",,"",,"",,
M. Riou,CB,64,Right,4,2,Block,51,32,55,57,64,70
N. Sow,CB,64,Right,2,2,Anticipate,54,29,49,55,64,64
S. Álvarez,CB,64,Right,3,2,"",59,37,52,42,64,70
M. Baur,"RM, CM",64,Right,3,3,"",66,56,62,66,43,54
J. Taaje,CB,64,Right,3,2,"Power Header, Long Ball Pass, Bruiser, Aerial",63,29,43,53,62,73
R. Lima,"CM, RM",64,Right,3,3,Tiki Taka,65,57,62,65,55,61
M. Waad,"CDM, CB",64,Left,3,2,"",68,55,59,59,63,71
J. Ríos Alonso,CB,64,Right,2,2,Intercept,70,36,51,54,63,68
J. Wulff,"CAM, CM",64,Right,4,2,"",74,60,62,64,54,69
Hélder Morim,"CDM, CM, LB",64,Left,3,2,"",65,53,62,63,62,63
D. Abzi,"LWB, LB, LM",64,Left,3,2,"",67,54,51,63,57,67
C. Ocampos,ST,64,Right,3,2,"",59,66,45,58,19,68
M. Quiroz,CDM,64,Right,3,2,"",65,53,61,61,61,63
J. Sarmiento,CAM,64,Left,3,3,"",75,59,63,64,37,51
N. Buso,"CF, CAM, RW",64,Right,3,2,"",65,63,58,64,22,52
A. El Azzouzi,"CB, CDM",64,Right,3,2,"",63,44,55,61,61,71
D. Perea,ST,64,Right,3,2,"",68,64,48,63,27,70
M. Gbane,CDM,64,Right,2,2,"",47,40,54,56,63,73
A. Ilić,ST,64,Right,3,2,"",74,62,47,57,25,72
M. Bentayg,LB,64,Left,2,2,"",64,28,61,57,60,63
H. Keto,GK,64,Right,2,1,Footwork,"",,"",,"",
M. Feeney,CB,64,Right,2,2,"Block, Anticipate, Aerial",67,34,41,42,62,79
S. Ylätupa,"CAM, RW, CF",64,Left,4,3,Flair,80,57,60,69,28,57
Á. Varga,GK,64,Right,2,1,Footwork,"",,"",,"",
O. Dale,"RM, RW",64,Right,3,3,"Technical, Flair",82,57,56,67,31,57
B. Austin,GK,64,Right,2,1,"",,"",,"",,
V. Xenopoulos,GK,64,Right,3,1,"",,"",,"",,
N. Bishop,GK,64,Right,3,1,"",,"",,"",,
A. Maynard-Brewer,GK,64,Left,3,1,"",,"",,"",,
C. Borchgrevink,"RWB, RB",64,Right,4,3,"",67,50,60,59,59,61
P. Boevink,GK,64,Right,3,1,"",,"",,"",,
U. Fredriksen,"CB, RB",64,Right,2,2,"",55,27,46,51,62,73
T. Kraulich,CB,64,Left,3,2,"Power Header, Block, Aerial",60,42,52,50,62,73
K. Niemczycki,GK,64,Left,2,1,"",,"",,"",,
Bruno Jordão,CM,64,Right,3,3,"",65,56,63,68,52,61
L. Sørensen,"RWB, CDM",64,Right,3,2,"Jockey, Long Throw",64,56,58,60,60,67
T. Ashby-Hammond,GK,64,Right,2,1,"",,"",,"",,
J. Amon,LW,64,Right,2,3,"Rapid, Quick Step",89,55,53,69,27,56
J. Russell,"CM, CDM",64,Right,3,2,"",52,60,60,61,63,75
S. Foss,CB,64,Right,2,2,"",52,25,41,46,64,69
C. McCowatt,"CM, LM, CF",64,Right,3,3,"Finesse Shot, Power Shot",73,66,64,63,53,71
D. Philipp,CF,64,Left,4,3,"Finesse Shot, Pinged Pass",78,61,57,68,39,55
A. Cisco,"RM, ST",64,Right,2,3,Flair,76,61,61,65,24,51
J. Anang,GK,64,Right,2,1,"",,"",,"",,
M. Hauptmann,"RM, RB",64,Right,3,3,"",81,52,57,67,52,53
L. Mulaj,LM,64,Right,4,3,Power Shot,71,59,63,70,31,43
O. Urhoghide,"CB, RB",64,Right,3,2,"Anticipate, Slide Tackle",77,28,47,60,61,73
J. Randall,LM,64,Right,3,3,Rapid,78,58,58,64,29,49
C. Mola,"LB, CB",64,Left,3,2,"",67,40,60,64,60,60
E. Reijnders,"RM, CAM, CF",64,Right,3,3,"",80,53,60,67,45,45
J. Benson,"CM, CDM",64,Right,3,2,"",61,57,64,66,60,64
M. Smith,"CM, CDM",64,Right,3,2,Long Ball Pass,64,54,60,65,60,60
H. Akujobi,RB,64,Right,3,2,"",59,44,59,62,60,74
C. Menacho,RM,64,Right,3,3,"",71,58,58,65,33,62
W. Forrester,CB,64,Right,3,2,"Long Ball Pass, Jockey",58,24,47,56,63,71
A. Marinelli,"RM, ST, LM",64,Left,3,3,"",80,60,58,67,36,51
M. Navarro,"LB, LM, LWB",64,Left,2,2,"",72,31,51,62,60,62
K. Tobers,"CB, CDM",64,Right,3,2,"",53,42,51,49,64,71
A. Leifsson,CB,64,Right,4,2,"",58,31,50,51,63,70
N. Hug,"LB, LW",64,Left,3,2,"",73,39,57,66,59,61
Iago López,"LB, RB",64,Right,3,2,"",74,35,54,60,60,65
Ricardo Velho,GK,64,Right,2,1,"",,"",,"",,
Ângelo Taveira,"LM, RM",64,Right,4,4,"Technical, Flair",73,58,59,67,30,54
A. Pembélé,RM,64,Right,3,3,Quick Step,87,53,55,66,33,55
Joël Monteiro,"ST, LM",64,Right,3,3,"",71,61,47,63,24,69
Mauro Rodrigues,RM,64,Right,3,3,"Technical, Flair",70,58,60,68,39,51
P. Ostachuk,"CB, RB",64,Right,3,2,"",66,52,55,60,62,66
Ž. Kolmanič,LB,64,Left,3,2,"",66,52,67,62,57,64
L. Mayo,"CB, RB",64,Right,3,2,Long Ball Pass,68,36,51,57,63,70
T. Sechelmann,CB,64,Left,2,2,"",57,33,51,56,66,66
T. Leigh,"ST, CAM, CM",64,Right,3,3,Long Throw,69,63,60,64,53,71
G. Ríos,"RM, CAM",64,Right,3,3,Finesse Shot,66,58,61,66,34,45
P. Guzmán,CB,64,Right,3,2,"",62,38,47,48,64,68
J. Lima,GK,64,Right,1,1,"",,"",,"",,
T. Santos,"RB, RM, RWB",64,Right,3,2,Rapid,85,52,58,65,54,64
U. Bislimi,"CAM, CM",64,Right,3,3,Technical,70,54,62,67,54,71
Alcedo,"LB, LWB",64,Left,3,2,"Whipped Cross, Jockey, Block, Intercept",69,35,44,58,63,61
E. Gültekin,"RW, ST",64,Right,2,2,"",78,56,60,66,32,57
I. Durdov,ST,64,Right,2,2,"",55,63,44,55,25,73
Depú,ST,64,Right,3,2,"",66,64,43,61,23,65
G. Szalai,CB,64,Left,2,2,"",59,38,40,46,65,68
M. Pala,"RB, CM, CDM",64,Right,2,2,"",77,43,58,63,57,57
F. Danho,ST,64,Right,3,2,"",54,62,44,60,21,75
Vitor Gabriel,ST,64,Right,4,3,"",68,64,43,63,21,69
F. Amatucci,"CM, CDM",64,Right,3,2,"",69,55,62,62,67,71
B. Babić,ST,64,Right,2,3,"",81,61,50,64,27,68
K. da Graca,"CB, RB",64,Right,2,2,"",53,30,45,53,63,75
J. Powell,"CM, CAM, RM",64,Left,3,3,Long Ball Pass,73,59,65,65,56,63
M. Listkowski,"CF, LW, CM",64,Right,3,3,"Technical, Flair",77,59,59,69,48,64
T. Glover,GK,64,Right,2,1,Footwork,"",,"",,"",
A. Keita,"CDM, CM",64,Right,2,3,"",63,48,56,64,61,71
Park Han Bin,"CM, CB, ST",64,Right,3,3,"Long Ball Pass, Anticipate, Slide Tackle",47,50,60,61,65,74
Huang Zhengyu,"CDM, CB",64,Right,2,2,"",71,37,55,61,64,63
M. Christensen,"CDM, CM",64,Right,3,2,Jockey,64,45,56,60,63,71
M. Nanizayamo,CB,64,Left,4,2,Bruiser,66,29,43,47,60,78
E. Brignola,"RM, CAM",64,Left,4,3,Technical,76,59,62,67,35,58
R. Schlegel,CB,64,Right,3,2,"Block, Slide Tackle, Acrobatic",48,32,39,39,65,74
J. Cejas,"CAM, RM, RW",64,Right,3,3,"",71,63,61,63,48,59
F. Pardo,CB,64,Right,2,2,"",60,32,36,39,64,71
B. Meijers,CB,64,Right,3,2,"Long Ball Pass, Slide Tackle",65,35,50,52,63,69
F. Dietz,ST,64,Right,3,2,"",73,62,43,57,25,71
C. Greger,CB,64,Left,3,2,"Intercept, Aerial",54,28,37,40,64,74
N. Bakboord,RB,64,Right,2,2,"",75,40,56,62,60,61
A. Petre,ST,64,Right,3,2,"",73,62,53,60,32,75
K. Poprawa,CB,64,Right,2,2,"",80,30,38,41,64,73
A. Koiki,"LB, LWB",64,Left,2,3,"Flair, Quick Step",89,52,53,60,57,74
R. Hernández,"RB, RWB, RM",64,Right,3,2,"",82,33,52,61,59,65
Yang Shuai,CB,64,Right,2,2,"Long Ball Pass, Bruiser",61,35,44,42,62,78
Wei Zhen,CB,64,Right,2,2,"",66,34,54,51,64,70
J. Tucker,CB,64,Right,3,2,"Long Ball Pass, Jockey, Anticipate",63,30,45,49,62,77
N. Pierini,"ST, LW",64,Right,3,3,Technical,79,61,58,66,38,54
B. Servania,"CDM, CM, RM",64,Right,2,2,"",68,50,60,65,61,65
N. Stierlin,CDM,64,Right,3,2,Aerial,68,54,54,59,64,73
M. Westergaard,"CM, LW",64,Right,3,2,"",71,55,60,64,60,70
S. Karweina,"RM, CAM, ST",64,Right,3,3,"",75,58,57,67,39,58
D. Bielica,GK,64,Right,2,1,"",,"",,"",,
P. Medina,"RB, CB",64,Right,3,2,Block,75,37,57,63,58,64
M. Al Rubaie,GK,64,Right,2,1,"",,"",,"",,
B. Källman,ST,64,Right,3,2,"",79,61,48,63,23,75
André Anderson,"CF, CAM, ST",64,Right,3,3,Technical,70,59,60,67,25,49
D. Quaranta,CB,64,Left,2,2,"",60,32,49,48,67,65
J. Redmond,CB,64,Right,2,2,"",55,33,43,51,63,75
O. Fernandez,"CAM, ST, LM",64,Right,3,3,"Technical, Flair",80,53,58,70,44,56
S. Straudi,"RM, RWB",64,Right,3,3,"",70,51,62,66,62,59
M. Szczepański,"CF, ST",64,Right,3,3,Rapid,80,59,62,67,36,58
V. Ozornwafor,CB,64,Left,3,2,"",59,36,43,44,62,73
P. Therkildsen,"RB, RWB, CM",64,Right,3,3,Pinged Pass,68,47,59,61,59,73
O. Rodríguez,GK,64,Right,2,1,"",,"",,"",,
A. Stahl,"RM, LM, ST",64,Right,3,3,"",86,58,57,64,40,59
D. Osio,CB,64,Left,2,2,"Power Header, Intercept",53,31,45,45,64,72
G. Sotomayor,"LM, LW, RW",64,Left,3,3,"",68,58,57,63,44,61
F. Bareiro,ST,64,Right,2,2,Aerial,47,66,50,60,19,67
M. El Ghezouani,ST,64,Right,3,3,"",50,64,53,62,24,67
R. Raposo,"LM, RM, LB",64,Right,2,3,"Finesse Shot, Technical, Flair",68,57,61,67,52,50
A. Małachowski,"CDM, CM, CB",64,Right,2,2,"Pinged Pass, Long Ball Pass",59,51,60,63,63,70
K. Butić,ST,64,Left,4,3,"Power Header, Trivela",71,64,53,61,37,65
F. Kovačević,"ST, LM, RM",64,Right,3,3,"",74,62,53,69,25,65
M. Doumbouya,ST,64,Right,3,2,Rapid,74,63,47,64,19,62
S. Pattynama,LB,64,Left,3,2,"Whipped Cross, Jockey",74,54,60,60,56,68
Iker Unzueta,"ST, LM",64,Right,3,2,"",62,67,51,63,22,59
D. Stumberger,"CB, LB",64,Left,3,2,Anticipate,65,37,49,50,65,67
L. Thompson,"CDM, CM",64,Right,3,2,"",62,46,61,64,61,53
A. Hoskonen,"CB, RB",64,Right,3,2,"",60,36,49,48,65,68
C. Zabala,"CM, RM, CAM",64,Right,2,3,"",65,53,64,64,57,69
S. Surdanović,"CAM, ST, CM",64,Right,3,2,"",70,64,55,64,47,70
D. Martínez,"LB, CB, RM",64,Left,3,2,"",69,50,59,63,59,57
M. Sarıkaya,"CM, CDM",64,Right,3,2,Press Proven,61,66,64,66,52,65
L. Arenas,ST,64,Right,5,2,"",73,65,41,62,21,63
A. Sögaard,CB,64,Right,3,2,"",62,34,53,57,64,68
G. Ayine,"CDM, CM",64,Right,3,2,"",68,55,62,61,58,61
L. Pos,CB,64,Left,4,2,"",55,38,47,59,61,75
R. Giger,RB,64,Right,3,3,"",69,46,57,67,58,57
Vinícius Dias,GK,64,Right,2,1,Far Throw,"",,"",,"",
M. Guillaumier,"CM, CDM",64,Right,3,2,"",63,59,64,65,55,57
Diogo Rodrigues,"RB, RM",64,Right,3,3,"",67,27,53,61,62,59
V. Bekaj,GK,64,Right,3,1,"",,"",,"",,
S. Merkaj,ST,64,Right,3,2,"",63,62,45,56,33,75
Y. Hamed,CB,64,Right,4,2,Slide Tackle,60,35,44,44,62,76
A. Bass,GK,64,Right,3,1,"",,"",,"",,
C. Gravius,CM,64,Left,2,3,"",63,51,64,65,54,63
M. Sarr,GK,64,Right,2,1,"",,"",,"",,
J. Wollacott,GK,64,Right,2,1,"",,"",,"",,
J. McGarry,"LB, LM",64,Left,4,3,"Intercept, Rapid",82,59,58,67,55,75
J. Fitzwater,CB,64,Right,3,2,"",66,37,48,54,64,69
J. Felix,CB,64,Left,2,2,Long Ball Pass,52,41,48,52,65,69
T. Bakinson,"CM, CDM",64,Right,3,2,"",61,56,59,64,64,74
N. Robertha,"ST, LW",64,Left,3,3,"",82,64,50,66,25,64
S. Stubbs,CB,64,Right,3,2,Aerial,65,29,41,52,64,72
A. Keena,ST,64,Right,3,2,"",70,64,58,63,37,65
J. Klinsmann,GK,64,Right,2,1,"",,"",,"",,
R. Hutton,"RWB, RB",64,Right,4,2,"Whipped Cross, Long Throw",80,43,56,63,55,72
Z. Hemming,GK,64,Right,2,1,Footwork,"",,"",,"",
J. Sparkes,"LB, LWB",64,Left,3,3,"",77,46,57,63,58,57
A. Akinola,ST,64,Right,3,3,"Flair, Trivela",80,64,48,60,20,71
C. McVey,"CB, LB, RB",64,Right,3,2,"",65,33,56,54,62,78
C. Sickinger,"CB, CDM",64,Right,4,2,Block,65,48,58,64,63,68
W. Długosz,RM,64,Right,3,2,"",80,52,59,63,51,60
